ds,yhat,yhat_lower,yhat_upper
2014-01-03,1424.6275900530095,-1342.067334448663,3920.210694832464
2014-01-04,995.982979420658,-1450.6541730549422,3498.284527450637
2014-01-05,1048.8923867493495,-1599.8173606039759,3606.60324733821
2014-01-06,1174.5484597041452,-1343.0948415859473,3841.648631144221
2014-01-07,416.8470779924245,-2190.912216850369,2883.357839534662
2014-01-08,-608.5336564400675,-3172.6914897260276,2017.522552384979
2014-01-09,457.0356399038743,-2161.762068640361,3097.52711056779
2014-01-10,909.0903796577502,-1476.5323650974922,3300.107408852174
2014-01-11,536.8040493028387,-2003.3201447372492,3170.8348195046583
2014-01-12,650.8525375922467,-1982.9882551485484,3261.937941729139
2014-01-13,841.2263318823036,-1650.966233532191,3564.4440325884766
2014-01-14,150.5282974387187,-2554.689082075258,2786.3761305469725
2014-01-15,-806.9179951341371,-3494.7962045097356,1614.3392457923553
2014-01-16,326.1319685347752,-2398.023304292789,2963.9525127711345
2014-01-17,843.8306722734139,-1927.389740387658,3317.857116226197
2014-01-18,534.0032125573506,-1908.2937977863792,3111.3915548661125
2014-01-19,706.0437507575722,-1968.2627047588846,3437.198077868668
2014-01-20,948.7585670214589,-1701.6755853868917,3514.0921980087583
2014-01-21,303.6926626788213,-2416.447412242821,2740.1783888162977
2014-01-22,-615.7358489463027,-3393.388703880795,1863.5817567620022
2014-01-23,546.9871359956331,-2015.7409975058854,3037.031098616032
2014-01-24,1085.47736961198,-1605.2252866815852,3590.8259538442812
2014-01-25,787.2310290435425,-1856.2695441779863,3129.5829139621374
2014-01-26,961.530420654127,-1518.8303042207356,3348.892734573605
2014-01-27,1197.2911390272507,-1423.2041906429376,3745.923270485289
2014-01-28,536.3874876911859,-2104.240918948286,3121.4269136289618
2014-01-29,-407.2196085715634,-2970.121501587242,2172.6015689818933
2014-01-30,723.7286203172567,-1806.8698385419493,3076.7865665643662
2014-01-31,1223.777866492867,-1141.714347582464,3726.7061069787837
2014-02-01,881.5183863807956,-1676.8611513386224,3503.429618434202
2014-02-02,1007.4655041323233,-1450.7673863847572,3589.193955208718
2014-02-03,1191.8780941283999,-1258.3208779742026,3681.406843837652
2014-02-04,478.0525285883672,-2032.9725610935052,2975.5186424110548
2014-02-05,-518.5829285928344,-3035.1384401261466,2219.696305141057
2014-02-06,560.7083431869669,-1906.110337841518,3000.9319098758588
2014-02-07,1011.9252369998945,-1429.029533665572,3780.195990124637
2014-02-08,625.0518488682736,-1849.8048401847384,3072.4997303172313
2014-02-09,711.9045615878714,-1709.8363756384654,3457.8240445145225
2014-02-10,863.9192129097827,-1673.9760595109892,3338.9251169481036
2014-02-11,125.41659748813049,-2450.2637384243067,2712.2193528632033
2014-02-12,-887.3280222967885,-3435.2720868531696,1616.2619896323818
2014-02-13,185.07083592101958,-2568.7156374402202,2496.838212588979
2014-02-14,639.0467531986816,-1850.6257657208923,3174.4515191965697
